Wall time,Step,Value
1789316744,240,-1569.833374
1789316787,760,-1814.105225
1789316806,1000,-1786.599976
1789316858,1640,-1688.561035
1789316864,1720,-1675.744141
1789316874,1840,-1649.239136
1789316900,2160,-1629.222168
1789316909,2280,-1630.052612
1789316957,2880,-1606.888916
1789316967,3000,-1597.47998
1789317031,3800,-1552.263184
1789317057,4120,-1549.089966
1789317069,4280,-1544.52002
1789317134,5080,-1468.640015
1789317175,5600,-1435.800049
1789317209,6040,-1427.869995
1789317225,6240,-1427.150024
1789317234,6360,-1426.780029
1789317263,6720,-1437.170044
1789317299,7160,-1429.75
1789317314,7360,-1423.660034
1789317320,7440,-1418.430054
1789317323,7480,-1425.780029
1789317337,7640,-1441.140015
1789317362,7960,-1475.25
1789317392,8320,-1469.089966
1789317407,8520,-1474.97998
1789317444,8960,-1481.109985
1789317463,9200,-1516.560059
1789317479,9400,-1523.47998
1789317529,10000,-1594.430054
1789317548,10240,-1621.849976
1789317563,10440,-1619.150024
1789317586,10720,-1596.76001
1789317599,10880,-1598.819946
1789317605,10960,-1611.22998
1789317665,11720,-1578.640015
1789317681,11920,-1580.72998
1789317700,12160,-1544.76001
1789317717,12360,-1582.599976
1789317723,12440,-1593.849976
1789317750,12760,-1611.849976
1789317789,13240,-1632.25
1789317819,13600,-1622.829956
1789317845,13920,-1652.319946
1789317897,14560,-1697.329956
1789317910,14720,-1711.439941
1789317944,15120,-1760.630005
1789318088,16880,-1884.369995
1789318091,16920,-1888.290039
1789318147,17600,-1883.819946
1789318154,17680,-1867.339966
1789318157,17720,-1870.359985
1789318167,17840,-1869.219971
1789318220,18440,-1972.609985
1789318230,18560,-1964.969971
1789318233,18600,-1975.900024
1789318267,19000,-1956.01001
1789318325,19680,-1959.219971
1789318332,19760,-1940.199951
1789318398,20520,-1903.819946
1789318404,20600,-1925.900024
1789318415,20720,-1931.949951
1789318443,21040,-1980.089966
1789318465,21280,-2036.859985
1789318473,21360,-2054.719971
1789318483,21480,-2065.560059
1789318504,21720,-2084.590088
1789318522,21920,-2106.030029
1789318558,22320,-2100.719971
1789318579,22560,-2126.600098
1789318601,22800,-2196.209961
1789318616,22960,-2226.040039
1789318637,23200,-2228.860107
1789318644,23280,-2251.830078
1789318662,23480,-2276.610107
1789318666,23520,-2276.100098
1789318687,23760,-2310.23999
1789318719,24120,-2410.050049
1789318786,24840,-2432.939941
1789318792,24920,-2412.5
1789318833,25400,-2315.959961
1789318858,25680,-2258.639893
1789318861,25720,-2253.290039
1789318868,25800,-2260.530029
1789318878,25920,-2233.189941
1789318886,26000,-2240.830078
1789318928,26480,-2181.449951
1789318939,26600,-2165.110107
1789318953,26760,-2139.689941
1789318964,26880,-2145.23999
1789318975,27000,-2151.709961
1789318990,27160,-2135.409912
1789318993,27200,-2131.870117
1789319007,27360,-2128.139893
1789319025,27560,-2178.629883
1789319120,28600,-2186.469971
1789319135,28760,-2223.379883
1789319149,28920,-2254.840088
1789319153,28960,-2259.02002
1789319178,29240,-2332.330078
1789319211,29600,-2403.870117
1789319226,29760,-2455.810059
1789319240,29920,-2459.530029
1789319258,30120,-2463.139893
1789319272,30280,-2507.090088
1789319304,30640,-2485.070068
1789319318,30800,-2471.98999
1789319322,30840,-2479.320068
1789319325,30880,-2477.540039
1789319333,30960,-2472.810059
1789319336,31000,-2477.310059
1789319359,31240,-2524.870117
1789319377,31440,-2515.100098
1789319384,31520,-2499.409912
1789319402,31720,-2522.22998
1789319406,31760,-2506.709961
1789319409,31800,-2481.25
1789319423,31960,-2436.139893
1789319437,32120,-2399.320068
1789319454,32320,-2340.850098
1789319458,32360,-2346.590088
1789319461,32400,-2359.870117
1789319542,33320,-2307
1789319556,33480,-2272.719971
1789319674,34800,-2330.850098
1789319692,35000,-2296.840088
1789319700,35080,-2290.939941
1789319722,35320,-2308.399902
1789319751,35640,-2324.389893
1789319774,35880,-2394.629883
1789319788,36040,-2443.629883
1789319814,36320,-2536.649902
1789319821,36400,-2520.580078
1789319843,36640,-2502.610107
1789319850,36720,-2517.889893
1789319903,37280,-2661.850098
1789319906,37320,-2668.620117
1789319942,37720,-2708.399902
1789319953,37840,-2707.300049
1789319986,38200,-2692.719971
1789320001,38360,-2711.850098
1789320016,38520,-2746.939941
1789320050,38880,-2804.02002
1789320053,38920,-2817.879883
1789320076,39160,-2859.199951
1789320079,39200,-2858.340088
1789320098,39400,-2861.199951
1789320143,39880,-2840.860107
1789320165,40120,-2848.01001
1789320177,40240,-2855.889893
1789320211,40600,-2922.330078
1789320222,40720,-2920.669922
1789320253,41040,-2912.649902
1789320298,41520,-2956.040039
1789320325,41800,-3001.889893
1789320375,42320,-3063.300049
1789320398,42560,-3103.879883
1789320409,42680,-3108.27002
1789320417,42760,-3113.01001
1789320432,42920,-3127.860107
1789320447,43080,-3145.659912
1789320455,43160,-3150.889893
1789320474,43360,-3159.899902
1789320478,43400,-3161.350098
1789320512,43760,-3181.52002
1789320535,44000,-3189.639893
1789320550,44160,-3204.080078
1789320554,44200,-3206.790039
1789320592,44600,-3192.219971
1789320611,44800,-3223.040039
1789320665,45360,-3242.969971
1789320749,46240,-3241.090088
1789320752,46280,-3243.909912
1789320768,46440,-3245.77002
1789320772,46480,-3237.100098
1789320775,46520,-3235.25
1789320844,47240,-3235.179932
1789320892,47720,-3260.27002
1789320895,47760,-3264.350098
1789320919,48000,-3277.209961
1789320926,48080,-3263.939941
1789320946,48280,-3264.080078
1789321045,49320,-3305.52002
1789321053,49400,-3289.399902
1789321091,49800,-3328.870117
1789321133,50240,-3361.110107
1789321145,50360,-3360.620117
1789321156,50480,-3358.139893
1789321233,51280,-3376.669922
1789321255,51520,-3383.090088
1789321282,51800,-3395.100098
1789321305,52040,-3398.300049
1789321344,52440,-3423.620117
1789321366,52680,-3449.620117
1789321378,52800,-3448.47998
1789321408,53120,-3449.939941
1789321419,53240,-3465.76001
1789321431,53360,-3491.419922
1789321442,53480,-3486.889893
