Wall time,Step,Value
1789314828,640,-1265.5625
1789314853,960,-1308.416626
1789314866,1120,-1264.785767
1789314892,1440,-1200.277832
1789314919,1760,-1187.20459
1789314932,1920,-1177.875
1789314958,2240,-1143.160767
1789314971,2400,-1142.333374
1789314984,2560,-1134.328125
1789314997,2720,-1139.308838
1789315010,2880,-1159.375
1789315024,3040,-1170.473633
1789315037,3200,-1162.25
1789315050,3360,-1156.321411
1789315076,3680,-1147.630493
1789315102,4000,-1144.310059
1789315115,4160,-1144.180054
1789315181,4960,-1097.75
1789315193,5120,-1096.310059
1789315220,5440,-1097.089966
1789315232,5600,-1086.01001
1789315258,5920,-1074.880005
1789315297,6400,-1085.569946
1789315310,6560,-1094.26001
1789315336,6880,-1066.329956
1789315348,7040,-1050.839966
1789315361,7200,-1048.689941
1789315374,7360,-1046.630005
1789315399,7680,-1036.969971
1789315426,8000,-1041.98999
1789315438,8160,-1041.310059
1789315477,8640,-1042.469971
1789315490,8800,-1029.890015
1789315503,8960,-1026.839966
1789315516,9120,-1031.380005
1789315528,9280,-1033.550049
1789315566,9760,-1029.089966
1789315579,9920,-1050.75
1789315605,10240,-1043.689941
1789315630,10560,-1023.619995
1789315643,10720,-1021.929993
1789315655,10880,-1018.75
1789315668,11040,-1016.940002
1789315680,11200,-1013.880005
1789315706,11520,-1006.789978
1789315719,11680,-1011.630005
1789315732,11840,-997.8599854
1789315745,12000,-995.7600098
1789315770,12320,-982.7700195
1789315796,12640,-977.7600098
1789315809,12800,-976.5599976
1789315834,13120,-965.9799805
1789315871,13600,-958.0499878
1789315884,13760,-963.210022
1789315896,13920,-937.9299927
1789315908,14080,-929.4799805
1789315921,14240,-922.2999878
1789315933,14400,-924.8699951
1789315995,15200,-932.4799805
1789316058,16000,-927.0700073
1789316095,16480,-920.0200195
1789316120,16800,-906.9699707
1789316132,16960,-907.8499756
1789316145,17120,-918.6099854
1789316232,18240,-932.4899902
1789316269,18720,-919.1599731
1789316293,19040,-909.7299805
1789316306,19200,-910.0999756
1789316318,19360,-904.3900146
1789316368,20000,-893.6599731
1789316380,20160,-893.5100098
1789316393,20320,-894.25
1789316430,20800,-894.539978
1789316442,20960,-891.1900024
1789316479,21440,-871.7199707
1789316528,22080,-864.2000122
1789316552,22400,-851.4099731
1789316576,22720,-849.0999756
1789316589,22880,-851.75
1789316601,23040,-847
1789316613,23200,-843.5999756
1789316625,23360,-843.5100098
1789316637,23520,-841.3699951
1789316661,23840,-840.9899902
1789316686,24160,-845.25
1789316722,24640,-836.9000244
1789316735,24800,-833.1599731
1789316747,24960,-830.9699707
1789316771,25280,-833.9099731
1789316783,25440,-831.7199707
1789316795,25600,-830.7600098
1789316820,25920,-823.2700195
1789316832,26080,-824.7999878
1789316856,26400,-825.3699951
1789316868,26560,-825.3499756
1789316892,26880,-820.25
1789316904,27040,-825.1199951
1789316916,27200,-827.1300049
1789316940,27520,-827.8400269
1789316989,28160,-819.7600098
1789317001,28320,-821.5300293
1789317014,28480,-822.0700073
1789317026,28640,-821.1099854
1789317050,28960,-821.1500244
1789317062,29120,-815.8599854
1789317086,29440,-814.8599854
1789317111,29760,-813.8599854
1789317123,29920,-809.9799805
1789317135,30080,-805.1199951
1789317147,30240,-806.5200195
1789317171,30560,-804.4400024
1789317183,30720,-809.4699707
1789317268,31840,-791.6500244
1789317317,32480,-785.5100098
