Wall time,Step,Value
1789280185.9455767,240,-5759.16650390625
1789280258.8770676,760,-5811.5263671875
1789280294.6793494,1000,-5865.60009765625
1789280388.2102232,1640,-5897.244140625
1789280399.793546,1720,-5900.3955078125
1789280416.4965017,1840,-5893.673828125
1789280461.7763364,2160,-5898.20361328125
1789280478.804702,2280,-5895.5791015625
1789280563.211353,2880,-5894.8193359375
1789280580.0896688,3000,-5891.919921875
1789280694.411819,3800,-5879.83154296875
1789280739.7331877,4120,-5886.68994140625
1789280762.3951547,4280,-5888.81005859375
1789280874.7191248,5080,-5890.259765625
1789280948.9725702,5600,-5877.56982421875
1789281011.7214575,6040,-5880.10009765625
1789281039.6068475,6240,-5877.7001953125
1789281056.6439521,6360,-5877.2001953125
1789281107.1764932,6720,-5876.080078125
1789281169.0550413,7160,-5889.5
1789281197.7040336,7360,-5893.2099609375
1789281208.6884413,7440,-5886.31005859375
1789281214.339718,7480,-5885.77001953125
1789281236.445115,7640,-5885.7998046875
1789281284.7210996,7960,-5895.39013671875
1789281336.4794636,8320,-5894.64990234375
1789281364.6176214,8520,-5895.080078125
1789281427.6555903,8960,-5893.02978515625
1789281462.271523,9200,-5897.490234375
1789281491.0702572,9400,-5897.009765625
1789281576.210387,10000,-5889.60009765625
1789281609.7195117,10240,-5893.4501953125
1789281638.1383216,10440,-5891.02978515625
1789281678.271464,10720,-5893.81982421875
1789281700.7065554,10880,-5900.0400390625
1789281712.3488016,10960,-5895.06005859375
1789281820.1617315,11720,-5899.27001953125
1789281847.9396224,11920,-5898.27001953125
1789281882.0028389,12160,-5897.22021484375
1789281910.382924,12360,-5900.0400390625
1789281921.633434,12440,-5899.52001953125
1789281967.8370473,12760,-5895.60009765625
1789282035.7450662,13240,-5887.740234375
1789282086.780145,13600,-5889.39990234375
1789282131.8566895,13920,-5883.2099609375
1789282223.1232374,14560,-5881.91015625
1789282245.6981013,14720,-5884.77978515625
1789282301.7749965,15120,-5888.64990234375
1789282550.7728834,16880,-5885.22998046875
1789282556.381706,16920,-5886.5
1789282652.7990863,17600,-5898.9599609375
1789282664.3169224,17680,-5894.81982421875
1789282670.1892724,17720,-5892.22021484375
1789282687.2132807,17840,-5900.33984375
1789282772.0924084,18440,-5913.8701171875
1789282789.3306437,18560,-5914.990234375
1789282795.1320305,18600,-5915.33984375
1789282852.2030103,19000,-5912.31982421875
1789282948.3398156,19680,-5918.47021484375
1789282959.6409044,19760,-5917.52978515625
1789283068.6567228,20520,-5894.93994140625
1789283079.775813,20600,-5893.64990234375
1789283097.2668698,20720,-5898.10009765625
1789283143.2514186,21040,-5897.490234375
1789283176.7556508,21280,-5893.81005859375
1789283188.4354544,21360,-5895.93017578125
1789283205.6837926,21480,-5897.2900390625
1789283239.8615587,21720,-5904.259765625
1789283268.6271248,21920,-5910.0400390625
1789283323.8592672,22320,-5891.3701171875
1789283357.8751123,22560,-5885.56005859375
1789283392.4457579,22800,-5882.08984375
1789283415.542172,22960,-5888.7900390625
1789283449.894479,23200,-5885.7001953125
1789283460.9614816,23280,-5887.919921875
1789283489.1102197,23480,-5889.4501953125
