Wall time,Step,Value
1789314704.4552503,640,-1785.375
1789314727.8669562,960,-1641.375
1789314742.1972253,1120,-1698.142822265625
1789314771.532189,1440,-1689.97216796875
1789314801.3199983,1760,-1641.1817626953125
1789314816.2722402,1920,-1628.2708740234375
1789314846.6375778,2240,-1633.9107666015625
1789314861.6842234,2400,-1681.6666259765625
1789314876.4582906,2560,-1678.546875
1789314891.1017342,2720,-1675.0440673828125
1789314905.6106784,2880,-1661.84716796875
1789314920.4065495,3040,-1665.0921630859375
1789314935.0368488,3200,-1652.125
1789314949.7512562,3360,-1652.952392578125
1789314979.80024,3680,-1645.1739501953125
1789315009.9879036,4000,-1663.0
1789315024.9279962,4160,-1647.4200439453125
1789315099.0008879,4960,-1649.8399658203125
1789315112.708499,5120,-1619.1500244140625
1789315140.8636956,5440,-1598.800048828125
1789315155.8028731,5600,-1589.93994140625
1789315185.9527366,5920,-1627.1600341796875
1789315230.876132,6400,-1603.06005859375
1789315245.8245852,6560,-1598.6099853515625
1789315274.783665,6880,-1590.3800048828125
1789315288.5750842,7040,-1567.3699951171875
1789315303.2487557,7200,-1568.6400146484375
1789315318.652669,7360,-1572.47998046875
1789315347.6543708,7680,-1548.0400390625
1789315376.766069,8000,-1500.280029296875
1789315391.272643,8160,-1495.1199951171875
1789315435.3021548,8640,-1464.47998046875
1789315449.6219401,8800,-1443.6300048828125
1789315464.4631317,8960,-1447.43994140625
1789315479.1428666,9120,-1453.6099853515625
1789315493.8127825,9280,-1453.47998046875
1789315537.4848485,9760,-1425.56005859375
1789315551.989317,9920,-1391.3199462890625
1789315581.177109,10240,-1345.8800048828125
1789315610.2707086,10560,-1321.4000244140625
1789315625.5305426,10720,-1343.6199951171875
1789315639.9036033,10880,-1326.9599609375
1789315654.9621103,11040,-1341.219970703125
1789315669.1622615,11200,-1329.780029296875
1789315697.565855,11520,-1285.3599853515625
1789315712.0214574,11680,-1277.6600341796875
1789315726.512884,11840,-1285.56005859375
1789315740.8377485,12000,-1278.1400146484375
1789315769.9131424,12320,-1247.780029296875
1789315798.974484,12640,-1272.4000244140625
1789315813.4396813,12800,-1271.0400390625
1789315842.2307491,13120,-1233.800048828125
1789315886.0883934,13600,-1210.1300048828125
1789315900.608437,13760,-1207.449951171875
1789315914.9705856,13920,-1198.3699951171875
1789315929.1281075,14080,-1194.3900146484375
1789315943.0982413,14240,-1181.7900390625
1789315957.3488178,14400,-1179.1400146484375
1789316027.281895,15200,-1098.969970703125
1789316098.3548896,16000,-1083.010009765625
1789316141.3928418,16480,-1053.5999755859375
1789316170.1702783,16800,-1032.1500244140625
1789316184.4179363,16960,-1037.5899658203125
1789316198.774695,17120,-1033.3399658203125
1789316297.9649906,18240,-1042.1700439453125
1789316341.1631134,18720,-1047.550048828125
1789316369.6494033,19040,-1056.25
1789316383.7850606,19200,-1058.0400390625
1789316397.7953782,19360,-1052.93994140625
1789316454.4436934,20000,-1044.3499755859375
1789316468.694607,20160,-1044.1300048828125
1789316482.8177097,20320,-1047.449951171875
1789316525.3655035,20800,-1032.2900390625
1789316539.7241,20960,-1026.56005859375
1789316582.3287346,21440,-1011.010009765625
1789316638.7345164,22080,-973.7000122070312
1789316667.4120402,22400,-974.97998046875
1789316696.2366426,22720,-949.030029296875
1789316711.441781,22880,-959.77001953125
1789316725.7250624,23040,-958.1099853515625
1789316740.0659032,23200,-959.4099731445312
1789316754.6126838,23360,-963.1799926757812
1789316768.9234607,23520,-960.6699829101562
1789316797.4445887,23840,-968.6199951171875
1789316826.0268946,24160,-976.780029296875
1789316869.852628,24640,-972.4500122070312
1789316884.5867991,24800,-973.9400024414062
