Wall time,Step,Value
1789315101.3736415,40,-3272.0
1789315104.7040846,80,-2855.0
1789315107.9539578,120,-2314.333251953125
1789315111.076319,160,-1972.0
1789315114.1675339,200,-1852.0
1789315117.3395393,240,-1767.0
1789315120.6021395,280,-1830.142822265625
1789315123.8545668,320,-1733.25
1789315126.9840066,360,-1716.0
1789315130.251599,400,-1677.199951171875
1789315133.2709477,440,-1612.0909423828125
1789315136.4970622,480,-1649.5833740234375
1789315139.7043345,520,-1665.769287109375
1789315142.9784288,560,-1648.0714111328125
1789315146.2645383,600,-1714.199951171875
1789315149.4669805,640,-1720.625
1789315152.6775033,680,-1723.5294189453125
1789315155.609531,720,-1688.22216796875
1789315159.0266905,760,-1695.368408203125
1789315162.218722,800,-1688.8499755859375
1789315165.5128706,840,-1672.90478515625
1789315168.6332557,880,-1680.727294921875
1789315171.7342303,920,-1659.6956787109375
1789315174.9424481,960,-1653.6666259765625
1789315178.2326038,1000,-1686.0
1789315181.3399115,1040,-1656.65380859375
1789315184.4913974,1080,-1641.629638671875
1789315187.7029245,1120,-1659.2142333984375
1789315191.091045,1160,-1704.7930908203125
1789315194.1709676,1200,-1702.433349609375
1789315197.626202,1240,-1751.48388671875
1789315200.7241945,1280,-1729.65625
1789315203.7690024,1320,-1708.8485107421875
1789315207.0186832,1360,-1698.058837890625
1789315210.2542071,1400,-1707.5428466796875
1789315213.4800394,1440,-1697.9166259765625
1789315216.566004,1480,-1681.9730224609375
1789315220.09464,1520,-1716.23681640625
1789315223.2379835,1560,-1698.6153564453125
1789315226.4584727,1600,-1689.550048828125
1789315229.7911634,1640,-1698.9268798828125
1789315232.9306839,1680,-1690.7857666015625
1789315236.3020878,1720,-1701.0
1789315239.4023519,1760,-1701.8409423828125
1789315242.6268485,1800,-1695.800048828125
1789315245.7776225,1840,-1690.391357421875
1789315248.8724709,1880,-1681.9361572265625
1789315252.366129,1920,-1695.9166259765625
1789315255.8376968,1960,-1713.4285888671875
1789315258.9060347,2000,-1700.47998046875
1789315262.1307383,2040,-1706.0196533203125
1789315265.1424677,2080,-1692.6922607421875
1789315268.3869245,2120,-1677.3773193359375
1789315271.568833,2160,-1668.5185546875
1789315274.833462,2200,-1661.5999755859375
1789315278.1732361,2240,-1660.5714111328125
1789315281.364489,2280,-1666.4385986328125
1789315284.502296,2320,-1666.0689697265625
