Wall time,Step,Value
1789280061.24226,240,-6044.83349609375
1789280129.43745,760,-5921.21044921875
1789280160.4301133,1000,-5894.72021484375
1789280244.1471124,1640,-5868.8779296875
1789280254.6031742,1720,-5869.55810546875
1789280270.7151387,1840,-5873.9345703125
1789280312.0643005,2160,-5886.68505859375
1789280327.6328714,2280,-5887.4384765625
1789280405.728473,2880,-5899.9443359375
1789280421.553099,3000,-5900.43994140625
1789280526.2555647,3800,-5911.69482421875
1789280568.6574888,4120,-5905.740234375
1789280589.7453132,4280,-5909.77001953125
1789280694.6292467,5080,-5931.43017578125
1789280765.2712975,5600,-5929.72998046875
1789280825.0701883,6040,-5930.06005859375
1789280851.7784474,6240,-5932.419921875
1789280867.787609,6360,-5933.8701171875
1789280915.7339027,6720,-5917.080078125
1789280974.3985686,7160,-5915.77001953125
1789281001.244809,7360,-5913.240234375
1789281011.879287,7440,-5908.490234375
1789281017.4303417,7480,-5906.83984375
1789281038.8078566,7640,-5911.97021484375
1789281081.684551,7960,-5919.66015625
1789281129.9240725,8320,-5911.919921875
1789281156.6528242,8520,-5907.8701171875
1789281215.3057523,8960,-5894.7998046875
1789281247.3279986,9200,-5894.7998046875
1789281274.6212957,9400,-5903.52001953125
1789281355.575701,10000,-5895.60009765625
1789281387.4957469,10240,-5881.10986328125
1789281414.3880603,10440,-5879.080078125
1789281451.9176314,10720,-5891.93017578125
1789281473.507369,10880,-5892.89990234375
1789281484.4736898,10960,-5893.2900390625
1789281588.749524,11720,-5881.89013671875
1789281615.6327577,11920,-5883.43017578125
1789281648.142085,12160,-5884.22021484375
1789281674.9220202,12360,-5892.5
1789281685.4803207,12440,-5886.0400390625
1789281728.2037444,12760,-5896.2099609375
1789281791.8043823,13240,-5893.75
1789281840.6964924,13600,-5892.759765625
1789281884.3304842,13920,-5902.7900390625
1789281969.9464889,14560,-5920.89990234375
1789281990.7665,14720,-5930.77001953125
1789282044.1039565,15120,-5913.85986328125
1789282279.3569794,16880,-5914.22021484375
1789282284.8626149,16920,-5909.31982421875
1789282376.7085178,17600,-5926.22998046875
1789282387.4111702,17680,-5921.02978515625
1789282392.9078848,17720,-5923.3701171875
1789282409.3605533,17840,-5924.5
1789282489.6055844,18440,-5913.56005859375
1789282505.9920304,18560,-5914.25
1789282511.3386574,18600,-5912.83984375
1789282565.70624,19000,-5917.080078125
1789282656.8405411,19680,-5896.85986328125
1789282667.4477923,19760,-5892.3701171875
1789282769.0892498,20520,-5906.22998046875
1789282779.8886619,20600,-5903.43017578125
1789282796.3531597,20720,-5905.8798828125
1789282838.8788207,21040,-5907.919921875
1789282870.9103155,21280,-5902.89990234375
1789282881.9110687,21360,-5912.97021484375
1789282897.801696,21480,-5911.89013671875
1789282930.6281126,21720,-5904.759765625
1789282957.6940014,21920,-5913.72021484375
1789283010.8014553,22320,-5909.009765625
1789283043.2779922,22560,-5907.7001953125
1789283075.6436517,22800,-5902.3701171875
